Nome;Unidade;Quantidade;Preço
proposta 21.43 v5 nan nan 2022-04-01;vg;1;21.43
i. arquitectura nan;vg;1;676007.91
ii. demolição com contenção de fachada nan;vg;1;126013.23
iii. estabilidade nan;vg;1;240668.42
iv. abastecimento de água nan;vg;1;21903.74
v. drenagem de águas residuais domésticas e pluviais nan;vg;1;24292.0
vi. instalações elétricas nan;vg;1;57413.48
vii. instalações de telecomunicações em edifícios nan;vg;1;22318.4
viii. aquecimento, ventilação e ar condicionado nan;vg;1;80007.97
ix. instalações eletromecânicas nan;vg;1;20170.0
x. rede de gás nan;vg;1;2660.0
nan total nan;vg;1;1271455.15
a) prazo de execução: 15 (quinze) meses nan;vg;1;15.0
b) condições de pagamento: 15% de adiantamento (a deduzir mensalmente em igual percentagem em todos os autos) e restante mediante autos a elaborar até ao dia 15 de cada mês, com pagamento até ao dia 28 do mesmo mês. o adiantamento será caucionado mediante entrega de cheque-caução do mesmo valor. nan;vg;1;28.0
c1) proposta válida por 30 dias. nan;vg;1;30.0
nan arquitectura nan nan 676007.9101250002 nan;vg;1;676007.91
1 estaleiro nan nan nan 138500;vg;1;138500.0
nan nota: incluindo todos os trabalhos preparatórios e acessos nos termos do art.º 350.º, do decreto-lei n.º18/2008 de 29 de janeiro, e ainda medidas de carácter ambiental a implementar no estaleiro. vg 1 126000 126000;vg;1;126000.0
1.2 manutenção e exploração do estaleiro durante o prazo da obra, incluindo todas as instalações e equipamentos afectos ao estaleiro, consumíveis (combustíveis, água, gás, electricidade, telefone, internet, etc...) e mão de obra. vg 1 6000 6000;vg;1;6000.0
1.3 desmontagem global do estaleiro, incluindo vedações, acessos, redes provisórias, limpeza e todos os trabalhos necessários para a entrega da obra em estado de imediata ocupação, tudo de acordo com a legislação em vigor. vg 1 incluido nan;vg;1;1.0
